title,description,link,date_published
"Partidos de hoy, jueves 23 de octubre del 2025: horarios y canales TV para ver EN VIVO Liga1 y Copa Libertadores","Fútbol EN VIVO | Horarios y canales de TV para ver EN DIRECTO los partidos de hoy, jueves 23 de octubre del 2025.",https://rpp.pe/futbol/futbol-mundial/partidos-de-hoy-peru-jueves-23-de-octubre-del-2025-horarios-y-canales-tv-ver-futbol-en-vivo-noticia-1660518,"Thu, 23 Oct 2025 13:00:14 -0500"
"Apagón en penales, restricciones para motos lineales y más: las medidas del estado de emergencia en Lima y Callao","El gobierno activó el régimen de excepción por 30 días para enfrentar el crimen organizado. Conoce el detalle de las acciones inmediatas: restricción de derechos fundamentales, patrullajes combinados de PNP y FF.AA., pruebas de polígrafo en el INPE y la prohibición de transporte de dos adultos en motos lineales.",https://rpp.pe/lima/seguridad/estado-de-emergencia-lima-y-callao-apagon-en-penales-prohibicion-de-dos-adultos-en-motos-y-suspension-de-derechos-clave-noticia-1660372,"Thu, 23 Oct 2025 11:15:00 -0500"
"Con 7 días en el cargo, aún no hay posición sobre el Reinfo: Premier responde ante presión del Congreso por prórroga al 2029","El primer ministro Ernesto Álvarez afirmó que el Ejecutivo aún no ha definido una postura sobre la prórroga del Reinfo, cuya extensión al 2029 evalúa el Congreso. Además, advirtió sobre el impacto fiscal de más de 220 leyes no observadas y anunció acciones para defender la estabilidad económica.",https://rpp.pe/economia/economia/reinfo-con-7-dias-en-el-cargo-aun-no-hay-posicion-sobre-el-reinfo-premier-responde-ante-presion-del-congreso-por-prorroga-al-2029-ernesto-alvarez-noticia-1660635,"Thu, 23 Oct 2025 11:20:55 -0500"
Lionel Messi se queda en Inter Miami: renovó contrato hasta la temporada 2028,Inter Miami se aseguró la presencia del argentino Lionel Messi en el largo plazo.,https://rpp.pe/futbol/futbol-mundial/lionel-messi-en-inter-miami-renovo-contrato-hasta-temporada-2028-mls-noticia-1660640,"Thu, 23 Oct 2025 12:07:37 -0500"
Crimen en Carabayllo: asesinan a alférez de la Policía dentro de su vehículo cerca de la casa de su pareja,"Según información policial, Jhordy Escobedo Mori, de 23 años, murió tras recibir impactos de bala en la cabeza y el cuello. La pareja de la víctima, quien se hallaba a su lado cuando ocurrió el crimen, relató a los policías que dos desconocidos llegaron caminando al lugar y le ordenaron que bajara del vehículo. Cuando corrió por ayuda escuchó los disparos.",https://rpp.pe/lima/policiales/crimen-a-carabayllo-asesinan-a-alferez-de-la-policia-dentro-de-su-vehiculo-cerca-de-la-casa-de-su-pareja-noticia-1660595,"Thu, 23 Oct 2025 07:55:09 -0500"
